"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)"
20154229,4.48468,,1.851,0.7186,10.09
20154244,4.6063,,2.307,0.5485,3.25
20154268,,,1.511,0.4649,14.57
20154269,,,1.872,0.4860,14.43
20154275,2.283,,1.083,0.4907,11.58
20154276,4.823,1.060,1.705,0.6886,8.75
20154278,7.85,,1.804,0.5918,29.77
20154300,,,1.209,0.4724,8.29
20154302,4.329,,1.72,0.5613,28.83
20154330,8.932,,1.477,0.4090,7.16
20154347,3.319,,1.85,0.6921,17.75
20154453,5.23,,2.582,0.8354,20.83
20154555,5.183,,1.184,0.5803,36.83
20154589,1.611,1.109,2.29,0.4588,7.18
20154590,,0.086,1.105,0.4022,1.42
20154631,,,1.558,0.4915,15.90
20154652,,,1.058,0.4506,16.18
20154656,,,2.31,0.6472,22.96
20154658,,,1.097,0.4548,19.29
20154715,,,1.619,0.4909,4.10
20154807,161,0.469,1.484,0.3164,15.53
20154988,,,1.506,0.6800,9.82
20154991,,,1.705,0.3229,5.63
20154993,13.761,0.828,1.516,0.6636,10.33
20155110,3.479,0.683,1.261,0.3484,30.38
20155140,5.235,,1.275,0.8724,28.67
20155334,4.682,,2.034,0.4086,6.62
20155336,,,2.121,0.7376,4.19
20155338,,,1.569,0.4826,2.08
20155340,,,2.107,0.4668,9.24
20155341,32.8,,1.478,0.2415,18.52
20159399,4.01,,1.527,0.2139,41.97
20159402,7.9219,,2.38,0.5719,7.57
20159454,14.245,0.577,1.411,0.2528,37.75
20159459,,1.769,2.336,0.7991,56.20
20159467,3,,1.809,0.2828,6.14
20159495,,,2.348,0.4830,4.07
20159504,7.84,2.324,2.433,0.6174,9.69
20159518,,1.784,2.104,0.4442,47.51
20159533,3.66,,1.654,0.2890,12.85
20159555,,,1.63,0.2300,29.44
20159560,,1.156,2.213,0.4344,25.73
20159608,,,1.674,0.3517,58.88
20159609,,,2.111,0.4630,40.01
20159635,,,1.703,0.3242,16.24
20159677,,,1.851,0.5949,6.06
20159686,,1.845,1.804,0.6882,24.73
20159699,,,1.697,0.7157,16.81
20159856,,,2.155,0.4648,9.75
20159857,2.72627,3.070,2.263,0.5937,23.15
20159923,,,2.523,0.5246,7.52
20159928,,,1.655,0.4193,27.75
20159929,33.4,2.620,1.887,0.4074,54.44
20161989,3.7538,1.9,1.123,0.2138,26.07
20161995,,,2.286,0.4789,25.27
20161998,13.4,,2.147,0.4051,8.23
20161999,,0.458,2.316,0.5125,7.37
20162000,2.536,0.4,1.678,0.4627,1.09
20162004,13.4895,,0.8908,0.6646,7.22
20162011,2.998,,2.833,0.5973,4.55
20162015,,,0.9931,0.2840,23.76
20162038,7.16,1.959,1.587,0.2765,17.23
20162039,,,1.801,0.6606,5.28
20162058,1880,0.847,2.367,0.5547,4.85
20162063,,,1.214,0.6666,13.01
20162080,,0.777,0.8967,0.3582,16.21
20162082,11.7864,,1.246,0.1870,20.05
20162116,,0.538,1.916,0.5582,7.11
20162117,7.33,,0.9326,0.3449,26.80
20162120,,,1.088,0.5709,2.13
20162142,8.44,0.462,0.8754,0.3179,21.81
20162149,,,1.874,0.3968,11.93
20162157,,,1.297,0.3515,15.27
20162161,,,2.115,0.4432,43.14
20162162,,,1.206,0.1949,10.84
20162168,3.85,,2.804,0.5866,4.06
20162173,7.63262,0.896,1.191,0.1911,5.87
20162181,37.26,0.729,1.41,0.2806,18.94
20162183,,,2.073,0.5353,1.43
20162186,8.36,,2.712,0.6110,27.51
20162195,,,1.598,0.7729,5.89
20162196,,,1.826,0.3749,22.43
20162210,6.23,,2.304,0.6948,5.19
20162214,,,2.323,0.5857,19.16
20162215,,,1.082,0.4367,17.34
20162269,,1.010,1.135,0.7379,40.13
20162273,7.38,,1.594,0.2360,20.18
20162361,3.4558,,0.8772,0.4112,2.70
20162385,9.463,0.812,0.7406,0.3587,6.88
20162416,24,,1.854,0.4783,0.40
20162421,8.947,,0.9467,0.1238,22.32
20162422,,,1.207,0.5310,1.40
20162433,,,1.359,0.4814,13.94
20162452,,,2.262,0.4473,5.46
20162463,3.024,1.048,1.146,0.2383,22.21
20162470,,,1.113,0.5530,35.27
20162472,,,1.259,0.1183,31.86
20162474,,,1.241,0.3574,50.71
20162483,2.642,0.906,0.8727,0.3736,51.18
20162510,,1.406,1.376,0.3023,38.15
20162566,50.67,4.299,2.627,0.5755,14.28
20162567,2.439,0.335,1.247,0.2500,13.75
20162581,,,1.667,0.3515,15.89
20162635,6.8939,,2.571,0.5148,7.88
20162679,,,1.2,0.5717,29.24
20162687,,,1.875,0.5437,14.77
20162694,,,0.8703,0.4225,32.23
20162695,,,2.123,0.6350,2.19
20162698,,,2.119,0.4877,20.69
20162723,4.571,,1.774,0.6818,6.39
20162740,,,2.458,0.5036,39.22
20162741,,3.945,2.319,0.4995,11.85
20162781,2.9959,,2.226,0.4265,10.04
20162783,,,1.314,0.2323,7.26
20162825,,,1.775,0.7432,9.07
20162854,,,1.323,0.1493,21.27
20162873,,,1.4,0.0865,20.20
20162882,,,1.092,0.5753,6.50
20162900,60.61,,2.577,0.5350,6.16
20162903,,1.086,1.305,0.2373,47.49
20162911,,,1.204,0.3393,7.95
20162913,,,1.271,0.5197,8.65
20162922,,,1.318,0.3818,10.30
20162926,,,2.943,0.6179,42.65
20162979,,,2.036,0.5441,17.09
20162980,12.71,0.790,1.553,0.4886,30.40
20162998,68,0.875,1.926,0.4741,1.68
20163000,69.97,,1.248,0.0514,3.55
20163001,,,2.123,0.4536,19.98
20163014,,,1.787,0.4455,9.94
20163015,,,1.417,0.3683,10.62
20163023,,,0.7973,0.5464,27.15
20163026,,,1.297,0.3654,11.86
20163051,4.693,,2.271,0.5691,9.28
20163067,,,2.043,0.5880,7.60
20163070,,,2.911,0.6351,14.54
20163081,19.64,,1.087,0.2032,11.50
20163132,,0.460,1.22,0.2952,48.78
20163191,3,,1.836,0.4644,16.30
20163243,6.231,1.682,0.7616,0.6017,20.28
20163249,3.7663,,1.344,0.3349,6.97
20163250,,,2.694,0.5350,35.26
20163252,7,,2.13,0.4409,9.00
20163295,,,2.462,0.6447,5.81
20163335,,,1.328,0.6668,56.32
20163348,14.5,0.735,0.8758,0.4345,5.42
20163364,2.42,,1.365,0.3692,4.19
20163373,148.7,,1.469,0.5466,1.67
20163412,,,1.907,0.4510,34.49
20163454,,0.712,1.162,0.3699,23.12
20163667,,,2.583,0.5716,4.64
20163679,,,1.495,0.4716,5.06
20163683,,,1.577,0.6883,20.63
20163691,6.649,3.449,2.417,0.5220,40.84
20163692,27.66,,1.526,0.4105,7.21
20163693,3.398,,0.741,0.3222,25.62
20163694,2.387,0.832,2.64,0.5433,9.82
20163696,62.06,,1.571,0.5191,29.50
20163697,,,1.609,0.4728,2.95
20163732,151.1,,2.751,0.6966,44.65
20163758,,,1.296,0.7412,41.53
20163760,,2.343,2.511,0.5045,13.07
20163818,5.649,0.386,1.229,0.3543,10.39
20163899,285,0.791,0.8276,0.2099,8.54
20163902,4.76,,1.661,0.2478,16.11
20164120,,,1.512,0.4083,11.03
20164121,2.343,1.717,1.11,0.2919,44.06
20164184,5.568,,1.627,0.4538,4.60
20164201,3.909,,1.997,0.8602,34.61
20164202,11.1,,0.988,0.2791,4.67
20164206,,1.138,1.701,0.4096,18.28
20164207,,0.163,1.001,0.1360,13.65
20164211,,,1.666,0.4233,2.26
20164214,,,2.12,0.3924,5.46
20164215,,,2.115,0.3960,4.88
20164216,,,2.152,0.5648,19.94
20164217,,,2.013,0.4162,48.92
20164221,,,1.505,0.2054,6.48
20164222,,,1.304,0.2469,16.11
20164294,,,0.6175,0.4546,2.95
20164341,,,1.627,0.2541,13.01
20164342,,,1.57,0.3613,19.17
20164400,38.69,,1.657,0.4679,6.63
20168044,,,0.9813,0.2833,34.84
20168318,3.925,0.9,2.163,0.5423,6.49
20168378,5.721,0.841,2.138,0.4483,6.81
20168791,,,2.295,0.5049,5.18
20169352,,0.316,2.083,0.5193,32.29
20169675,45.84,,2.721,0.5479,12.62
20170013,,,2.948,0.7997,25.39
20170086,,,1.907,0.6257,2.13
20170502,7.2,,2.472,0.8818,10.51
20170891,2.795,,1.982,0.4058,8.16
20170903,,,1.336,0.6033,8.27
20171486,,,1.794,0.5128,6.09
20171576,2.796,,1.086,0.5834,17.28
20171819,15.24,,1.496,0.1664,9.95
20171839,5.7516,,1.461,0.3110,17.07
20172034,8.0475,0.631,1.277,0.2026,25.03
20172678,,,2.584,0.6981,2.74
20172718,,,1.61,0.2047,19.57
20172722,,,1.544,0.6996,7.22
20172974,,,1.637,0.2465,8.47
20173232,,,2.744,0.5329,9.60
20173561,2.722,,1.448,0.3111,28.00
20173664,,,1.517,0.2688,4.01
20173689,,0.724,1.78,0.3946,10.42
20174050,3.514,,1.285,0.1135,50.06
20174806,,,2.531,0.5678,10.62
20174881,,,1.254,0.5570,57.23
20175114,8.879,,2.249,0.6636,5.72
20175189,3.758,,2.058,0.3865,2.62
20175706,3.5942,1.196,1.054,0.3497,1.99
20175729,,,1.272,0.4247,11.54
20175921,,1.039,1.369,0.4838,20.70
20177016,,,1.16,0.5820,13.81
20177049,,,1.418,0.6144,0.65
20177255,,,2.295,0.4859,10.25
20177614,,,1.889,0.5207,5.44
20177651,,,1.154,0.6988,42.39
20178601,,,2.473,0.4922,4.18
20178871,,,2.374,0.4622,7.58
20179806,9.455,,1.858,0.5345,4.93
20180186,,,2.421,0.6314,8.57
20183548,,,1.845,0.3403,10.53
20184266,2.5009,,2.122,0.5976,3.83
20184990,2.5435,2.039,1.053,0.7992,45.11
20185702,,,1.828,0.2996,24.70
20185716,6.864,0.629,1.685,0.2736,35.19
20185851,2.7754,0.863,1.365,0.3764,8.67
20185853,,,1.857,0.3107,36.91
20186822,,,1.574,0.4528,13.06
20186823,,,1.205,0.6769,21.97
20186844,,,2.432,0.6724,7.77
20187026,,,0.9595,0.1353,30.00
20187040,,0.430,1.356,0.3226,6.04
20188174,2.472,,0.8189,0.3908,40.86
20188452,5.36,,2.55,0.5727,24.69
20189008,5.36,,2.169,0.7933,8.04
20189011,,,1.5,0.2323,18.70
20189040,,,1.372,0.3827,13.09
20189058,,,2.571,0.5116,26.22
20189062,,,1.927,0.3872,12.85
20189173,,,1.844,0.5705,43.07
20189263,,,2.728,0.5889,16.75
20189552,,,2.558,0.5352,30.15
20189630,,,1.206,0.6931,12.62
20189700,5,,1.463,0.1914,10.72
20189865,,,1.406,0.8055,21.57
20189973,,,1.845,0.3772,26.96
20190119,,1.451,2.466,0.8903,29.89
20190135,,,2.019,0.6880,6.22
20190161,,3.041,2.238,0.4531,3.98
20190166,40.542,1.045,2.116,0.4695,4.21
20190208,182.,,2.053,0.4864,4.09
20190491,2.46,,1.319,0.2346,5.28
20190758,,,1.749,0.3645,13.96
20190788,,,1.268,0.7924,20.11
20191094,,,2.115,0.6412,32.16
20192559,,,1.075,0.2265,10.06
20192563,,,1.452,0.4079,24.76
20192642,17.08,,2.642,0.7695,6.80
20193178,,,1.935,0.7013,13.13
20194006,,,1.449,0.4243,4.26
20194126,5.09,,1.433,0.2478,26.68
20194268,6.802,1.244,1.453,0.7873,5.44
20194386,6.38,0.916,2.302,0.6134,13.68
20196068,,,2.117,0.6645,59.36
20196256,,,3.123,0.6185,70.85
20196625,,,1.847,0.5913,13.73
20197588,,,1.845,0.4661,42.73
20198752,,,2.51,0.5236,1.76
20198856,,0.742,1.654,0.3353,25.00
20199003,4.3825,,0.9592,0.1521,21.61
20199145,,,1.649,0.7314,3.76
20199801,,,1.685,0.5694,2.28
20200754,3.653,0.553,1.756,0.5171,15.51
20200840,,,2.321,0.5608,1.94
20202411,,,2.152,0.7520,16.26
20202435,,,1.323,0.6915,29.06
20202683,,,0.6371,0.5623,3.44
20203015,,,1.487,0.1432,26.76
20203217,,,1.933,0.3303,3.50
20203471,13.26,,0.8554,0.3736,17.18
20204131,,,1.147,0.6324,5.65
20204232,,,1.248,0.5634,17.34
20205378,,,1.363,0.1415,19.36
20205388,,,1.373,0.1708,12.37
20205744,,,2.299,0.7473,11.94
20206359,45.8,,1.792,0.3032,33.11
20206378,37.5,0.376,1.788,0.4392,6.72
20206910,,,2.575,0.7153,5.02
20207398,4.48,,2.092,0.6410,2.59
20207945,3.1499,0.423,1.039,0.1186,8.71
20207970,,,2.63,0.5314,3.39
20208023,2.67,,0.934,0.2353,6.50
20208115,,,1.299,0.3547,23.30
20208565,4.339,,1.258,0.5388,53.86
20208617,,,1.758,0.6837,9.92
20209215,,,0.989,0.1211,2.56
20209924,2.726,1.861,2.03,0.4532,23.76
20210012,,,2.308,0.4732,9.25
20211871,,0.411,1.846,0.5112,7.88
20211914,,,2.604,0.6015,19.48
20212359,,1.261,2.017,0.7074,15.95
20212546,,,2.132,0.5155,7.36
20213053,,,1.813,0.3367,0.51
20213869,,,1.859,0.6034,37.00
20214088,6.342,2.423,2.891,0.6903,13.34
20214869,102.24,,2.849,0.6528,2.00
20215167,,,1.69,0.3088,26.97
20215188,9.24,,2.686,0.6637,22.28
20215442,473,1.075,0.9137,0.2742,36.28
20215588,,0.488,1.114,0.6754,3.06
20215757,4.99531,0.780,1.837,0.3671,24.88
20216115,,,1.526,0.5868,2.09
20216258,7.3,,1.671,0.4852,2.63
20216523,0.042,,0.9138,0.4121,5.21
20216707,15.486,,2.177,0.4129,22.70
20216985,,,1.18,0.2618,4.72
20217013,,,1.321,0.1981,43.88
20217390,,,1.626,0.4780,28.48
20217430,,,1.23,0.2706,13.01
20217628,8.55,1.4,2.528,0.7112,4.44
20217683,,,2.227,0.4165,5.49
20217796,,,2.743,0.6194,37.55
20217807,51.9,,1.724,0.3855,11.24
20217837,,,1.055,0.6774,16.96
20218017,,0.451,1.196,0.1927,12.00
20218863,210.,1.237,2.197,0.5473,11.03
20219021,,,1.357,0.7331,53.12
20219071,3.319,0.657,1.053,0.2821,20.02
20219527,,,2.484,0.5376,5.78
20220124,3.89,0.609,1.457,0.3779,51.35
20220839,6.7906,,1.901,0.5948,3.69
20220909,,,2.535,0.7049,13.87
20221455,,,2.015,0.6579,0.93
20221787,,,1.605,0.1947,2.45
20221980,,0.432,1.341,0.4007,21.59
20222008,,,2.364,0.5502,1.67
20222073,10.37,,1.386,0.1308,34.23
20222165,,,2.208,0.4817,23.32
20222869,8.98,,1.796,0.5447,33.71
20223456,,,1.6,0.3358,5.14
20224926,,,1.461,0.4398,30.22
20225312,1.195,,1.189,0.0581,2.47
20225416,4.531,1.651,1.422,0.8306,38.25
20225586,,,1.299,0.7072,20.64
20225900,,,1.905,0.6206,10.56
20226198,,,1.744,0.2576,8.70
20226219,,,2.294,0.4436,5.99
20226514,,,1.095,0.6159,2.56
20226554,13.404,0.482,1.118,0.2616,9.26
20228368,,,1.479,0.7019,14.73
20228502,13.14,0.302,1.084,0.1967,7.63
20228587,7.45,,1.364,0.0933,23.87
20229007,,,2.197,0.8469,8.61
20229672,,,1.333,0.6137,38.18
20230089,,,1.318,0.2643,21.28
20230111,4.194,,0.8231,0.3692,17.51
20230118,,1.166,2.682,0.5607,24.51
20230420,,,2.327,0.6522,20.12
20230549,,0.217,1.456,0.3560,13.11
20230599,,,2.17,0.8173,20.97
20230979,,1.522,2.861,0.6127,11.21
20231134,2.6717,,1.975,0.4952,28.53
20231792,,,1.838,0.3057,37.60
20231937,39.905,0.55,1.699,0.8258,39.01
20232368,31.1,,1.42,0.2237,22.87
20232382,,1.123,2.336,0.4927,7.45
20232691,,,1.576,0.4696,9.08
20234061,,2.900,2.361,0.5725,8.16
20234145,33,0.344,0.9376,0.3212,5.43
20234341,,0.344,0.9441,0.6043,20.67
20235086,6.385,1.024,2.351,0.4663,7.40
20235700,,,2.017,0.7294,17.85
20235756,7.18,1.136,1.133,0.2588,39.15
20236716,,,2.176,0.4725,9.83
20237442,5.101,,1.506,0.2415,20.84
20237551,,0.630,1.406,0.3469,34.28
20237805,3.7756,0.703,1.604,0.3412,35.31
20238063,7.23,1.470,1.738,0.7136,31.79
20238456,,0.328,1.389,0.3002,18.15
20239849,,0.450,2.257,0.6336,15.75
20240320,,,1.459,0.1213,15.82
20241370,10.83,0.764,1.676,0.3935,17.27
20241596,8.75,1.548,1.805,0.3405,27.10
20241662,2.42,0.898,1.83,0.3888,28.62
20242147,46.32,1.687,1.959,0.7196,23.34
20242187,,0.605,2.345,0.4805,5.58
20242191,13.531,0.370,0.7934,0.4923,18.25
20242211,,,2.319,0.4749,4.84
20242216,,,2.231,0.5408,39.62
20242450,,2.914,1.084,0.4772,37.03
20242643,7.,1.989,1.834,0.8650,8.42
20242708,63.8,,2.501,0.6954,0.79
20243025,31.73,2.123,2.674,0.5240,15.89
20243147,13.538,0.912,2.138,0.4149,7.35
20243298,,,2.498,0.5572,12.03
20243566,2.313,0.881,2.463,0.6415,19.91
20244670,20.887,,1.75,0.4856,11.90
20244977,,0.495,1.761,0.4445,15.74
20246138,,0.588,2.165,0.4817,1.69
20247156,,1.655,2.218,0.5276,21.85
20247360,,,2.573,0.8369,19.07
20247517,,0.269,0.817,0.6991,12.76
20248083,4.66,2.358,3.326,0.6133,23.37
20248590,,4.726,2.915,0.6970,52.31
20248818,3.59,,1.673,0.2854,29.22
20248926,8.45,2.907,1.694,0.3301,24.65
20249595,19.696,,2.005,0.3704,7.02
20249615,,,1.968,0.3935,30.43
20249816,,,2.046,0.4780,7.30
20249886,,1.201,1.483,0.2834,22.84
20250162,2.5001,,1.922,0.3274,3.46
20250458,16.19,0.630,1.019,0.4929,35.56
20250577,,,1.05,0.5178,46.88
20250614,,1.617,2.042,0.6593,34.82
20250620,5.354,0.654,2.109,0.6023,16.08
20250680,,0.398,0.893,0.3646,9.45
20250697,11,,1.381,0.4393,12.65
20250706,7.,0.535,2.958,0.7005,6.93
20251346,2.718,,2.015,0.5328,8.18
20251722,,,1.675,0.6612,3.17
20251732,,,1.201,0.1124,4.20
20252091,5.44,,2.252,0.7614,9.37
20252373,,,1.302,0.7356,38.54
20252399,,0.291,0.8748,0.5460,15.21
20252558,,0.533,1.089,0.3971,7.16
20252793,61.2,,1.315,0.2177,46.45
20253062,26.273,,1.369,0.1963,2.15
20253106,180,,1.379,0.7928,48.63
20253586,,,1.448,0.2073,38.75
20253841,2.27,,2.286,0.6435,8.07
20254417,,,2.076,0.6046,52.49
20254419,,0.629,2.075,0.4342,43.51
20255071,,,1.001,0.6325,2.64
20255501,,,1.683,0.7317,4.82
20256004,,,1.584,0.3003,2.29
20256412,20.,4.444,1.633,0.2238,26.86
20256670,,,2.012,0.3642,2.31
20257744,5.8,,1.695,0.5862,7.92
20257838,11.094,,2.166,0.4186,7.06
20258325,,,1.719,0.3957,7.94
20259221,9.09,,1.1,0.8332,23.70
20259802,,,1.755,0.3302,31.43
20260141,7.66,,1.133,0.2518,17.75
20260277,,0.470,0.8951,0.2097,19.36
20261938,,,1.533,0.2186,0.71
20262623,16.3,0.761,0.9833,0.3328,27.55
20263976,2.664,0.785,1.046,0.2615,13.47
20264308,,,1.436,0.2487,4.28
20264357,,0.113,0.7469,0.3600,8.59
20264993,,,1.376,0.4107,3.15
20265032,,,2.304,0.7024,40.14
20265187,,,1.249,0.3303,29.56
20265196,6.479,0.361,1.455,0.3785,15.21
20265482,2.6534,,1.129,0.3278,6.17
20265661,,,1.896,0.7381,27.68
20265962,7.834,,1.829,0.3360,4.35
20267131,,,2.41,0.6571,15.64
20267136,,,1.148,0.4178,10.82
20267221,,0.562,1.04,0.6599,1.64
20267223,4.11,,1.842,0.9011,12.78
20267270,,,2.634,0.5164,8.16
20267337,39.05,0.439,1.269,0.5140,19.43
20267494,2.4261,,2.719,0.7846,46.75
20267720,,,1.379,0.7197,21.15
20267729,129.5,,1.917,0.6086,5.83
20267759,,,1.374,0.1843,21.21
20267940,2.419,,1.105,0.5239,14.14
20269690,,0.888,2.001,0.6033,3.58
20271480,77.1,0.709,1.261,0.4419,24.75
20274138,2.852,0.747,1.324,0.5690,12.83
20274855,,,1.639,0.3009,9.54
20275545,,,1.514,0.2208,32.43
20275558,,,1.551,0.1708,11.02
20275611,15.109,1.483,1.533,0.1817,8.23
20275677,4.444,,1.28,0.3205,17.10
20275714,4.438,,1.49,0.4587,17.97
20275792,,,1.527,0.2220,30.59
20275974,26.1,0.626,2.045,0.7960,11.31
20275975,,,1.479,0.4638,22.03
20275976,6.41,2.381,2.205,0.5854,22.36
20276033,3.9333,,1.37,0.9150,15.45
20276049,3.2931,3.5,2.234,0.5610,47.29
20276111,,,1.865,0.3492,17.32
20276392,,,1.608,0.2706,14.52
20276397,2.433,,2.264,0.4804,4.45
20276409,,,1.243,0.5873,50.26
20276468,,1.034,1.978,0.3456,35.88
20276660,,,1.785,0.2885,29.79
20276703,,0.521,1.26,0.7499,9.81
20276732,,,1.471,0.7809,40.83
20276770,,,0.7891,0.5987,28.99
20276786,5.0177,1.720,1.72,0.3302,10.12
20276891,,,1.295,0.3814,26.11
20277039,16.2,0.676,1.648,0.5860,15.88
20277127,,,1.641,0.2333,2.88
20277142,4.63,,1.755,0.8273,26.57
20277279,,,1.618,0.3676,20.21
20277473,,,2.2,0.4418,43.08
20277475,2.595,,1.011,0.2374,9.84
20277570,3.689,0.439,1.372,0.6172,4.11
20277616,5.45,1.236,2.566,0.6982,18.63
20277617,,0.666,1.522,0.6329,16.16
20277810,,,1.001,0.3775,7.10
20277830,,,0.9855,0.2638,9.54
20277958,,,2.049,0.7368,13.05
20278327,,,2.514,0.7255,54.48
20278381,,,1.023,0.2589,5.83
20279744,,,1.671,0.6111,4.66
20279816,,,1.238,0.4006,50.74
20280136,,,1.496,0.5632,55.31
20280244,,,2.126,0.4405,5.39
20280491,,,1.105,0.4839,24.08
20281070,,,1.807,0.5743,35.63
20281365,,,1.631,0.6632,18.71
20281375,3.5,,0.9856,0.2485,7.23
20283457,,,2.234,0.4550,5.57
20283460,59,,2.235,0.4586,5.96
20283729,5.937,,1.474,0.1634,20.20
20284114,,,2.126,0.4288,10.84
20284422,,,2.623,0.6937,7.74
20285110,,,2.611,0.5875,25.83
20285179,,,1.228,0.5356,13.93
20285263,4.749,,2.422,0.5723,12.87
20285331,4.42,0.654,1.736,0.4557,20.17
20285339,,0.614,1.367,0.6753,20.32
20285540,24,,2.104,0.7269,8.49
20285567,,,1.701,0.6409,13.58
20285571,3.744,,1.904,0.4316,13.47
20285625,0.065,,1.963,0.3472,6.93
20285638,,,1.3,0.5404,36.96
20285818,,,1.988,0.4215,8.83
20285838,,,1.883,0.3598,33.82
20285944,2.2455,1.044,2.192,0.5065,53.08
20285990,5.78,,1.786,0.7890,25.96
20286079,,,0.9112,0.5261,31.33
20286080,,,1.047,0.4825,2.80
20288592,,,0.9529,0.5615,14.73
20288807,,,1.49,0.3765,36.78
20288914,,,1.764,0.3274,15.28
20289227,,,0.6402,0.7967,23.78
20289315,,,2.319,0.6381,4.92
20290772,,,2.084,0.5939,4.48
20292165,,,1.203,0.5806,30.26
20292220,,,1.412,0.3121,2.52
20293054,5.985,,2.531,0.7675,6.08
20293726,,,1.578,0.3690,2.01
20294739,3.05785,0.740,1.566,0.4081,36.01
20296318,,,1.659,0.5245,47.36
20297274,4.645,1.199,2.445,0.7904,1.97
20297300,15,0.320,1.273,0.4144,16.08
20297418,6.314,0.407,0.8115,0.4669,10.34
20299582,,0.622,1.29,0.4658,25.84
20301011,,,1.509,0.5453,5.36
20301844,,0.4,1.642,0.5261,0.93
20302010,,,1.688,0.4892,56.38
20302156,,,1.268,0.6453,29.50
20302169,,,0.7968,0.7775,25.39
20302311,4.126,,1.148,0.3023,11.28
20302523,,,2.68,0.5837,10.23
20302591,,,1.47,0.1812,12.11
20302800,,,1.728,0.2800,23.50
20302830,,,1.473,0.4421,16.97
20302831,13.97,,1.389,0.5405,25.80
20302871,,,1.877,0.3948,1.61
20303174,2.523,1.504,2.255,0.4464,21.38
20303248,,0.817,1.769,0.5740,28.53
20303250,,,0.904,0.6570,15.91
20303262,,,1.095,0.3106,13.23
20303449,,,2.017,0.6259,6.58
20303450,,0.187,1.269,0.3306,7.29
20303933,,,1.126,0.4888,19.13
20304088,,,1.643,0.2506,21.23
20304153,,2.054,1.755,0.3494,33.70
20304293,,,1.172,0.3390,36.06
20304330,,0.780,1.412,0.3102,21.04
20304640,,,1.418,0.5043,9.41
20305090,2.69,,2.637,0.5140,26.61
20306367,,,2.537,0.7409,3.77
20306383,0.94345,,0.8758,0.5514,2.07
20306431,,,2.483,0.5318,29.12
20306462,37.6,0.476,1.839,0.4317,30.96
20306523,,,2.364,0.5141,18.71
20306595,,,1.79,0.3563,28.49
20307005,,,2.891,0.7525,39.21
20307070,,0.282,1.309,0.2492,14.98
20307161,,,1.492,0.2743,24.17
20307493,,1.666,2.079,0.5861,23.12
20307564,,,1.371,0.1315,3.62
20307918,,0.374,0.8804,0.5053,28.59
20308041,,,1.428,0.4359,14.05
20308043,,,1.25,0.8289,14.29
20308127,,,2.325,0.4665,28.16
20308242,11,,0.7532,0.3400,24.93
20308635,18,0.4,1.157,0.4305,0.34
20308899,,,1.8,0.3740,16.55
20309203,,,2.65,0.5605,5.30
20309214,,,0.9807,0.1741,10.05
20309662,,,0.9813,0.2118,16.16
20309728,,,1.907,0.3928,19.80
20310402,,,1.669,0.2819,31.00
20310442,6.0542,,0.8627,0.4232,3.26
20310560,2.97387,0.654,1.049,0.4990,26.61
20310737,,,2.286,0.4892,5.68
20310842,5.3257,,0.8769,0.3842,7.40
20311044,,,1.907,0.6223,55.86
20311066,2.5709,,1.634,0.3996,19.45
20311321,,0.583,1.827,0.2965,34.70
20311554,9.15,0.382,0.82,0.4222,24.38
20311555,,,1.631,0.6142,15.76
20311925,,,1.433,0.2156,4.10
20312070,,0.595,0.9539,0.5095,22.63
20312473,3.463,,1.994,0.4569,11.85
20312942,8.444,,2.263,0.7767,9.07
20312956,,,1.405,0.5409,6.62
20313276,131.,,0.8799,0.5417,33.00
20313538,,,1.687,0.5516,14.02
20313548,,,1.712,0.3197,22.46
20313552,,,1.182,0.4227,7.92
20313809,,,1.195,0.5002,30.45
20314079,,,1.257,0.3109,23.87
20314082,,,2.238,0.5749,16.14
20314212,,,2.133,0.6509,6.46
20315020,,,1.844,0.3206,7.89
20315098,2.447,0.993,0.8716,0.4175,18.70
20315508,,0.836,1.602,0.3205,30.02
20316695,,,1.793,0.3264,21.64
20317212,,,1.835,0.3443,12.23
20317255,2.6093,,1.401,0.5677,6.43
20317643,,,1.184,0.4397,14.64
20317685,,,1.715,0.3126,22.70
20318050,,,1.923,0.3389,10.93
20318160,7.43,,2.261,0.4932,0.97
20318411,9.65,,2.315,0.6078,12.82
20318450,,,1.445,0.1542,12.46
20319988,,,1.396,0.5503,5.18
20320378,,,1.56,0.2837,1.31
20322652,2.386,,2.65,0.5743,24.35
20322705,,,2.524,0.6904,12.72
20322756,4.166,,0.7247,0.3827,8.13
20322763,,1.252,2.007,0.5361,22.83
20322775,,1.632,2.388,0.5285,11.45
20322913,,,2.3,0.4621,44.99
20322966,,,2.902,0.5769,37.03
20323179,,1.170,1.748,0.6871,8.28
20323300,,,1.169,0.3183,10.08
20325102,,0.361,0.6262,0.6268,5.11
20325395,,,0.9327,0.0915,18.68
20325769,,,1.903,0.4133,11.12
20326290,,,0.8789,0.4403,3.38
20326291,7.908,,1.247,0.0622,39.33
20326302,,,1.387,0.3447,12.03
20326332,,,1.304,0.1972,46.85
20326354,,,1.14,0.1748,5.76
20326386,,,1.089,0.4215,29.24
20326388,,1.142,1.274,0.4962,17.96
20326683,6.262,0.518,1.45,0.2160,19.15
20326732,3.463,,2.711,0.5708,6.62
20326742,0.6108,,1.735,0.3684,28.02
20326777,28.01,,1.746,0.3897,19.41
20326946,,,1.866,0.3800,40.12
